,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[487 237],[174.81335785 214.22018211],[1.43748],30.67011364530807,44.00606060606061,47.45757575757576,54.512121212121215,62.154545454545456,85.67575757575757,76.65757575757576,91.22424242424242,100.25151515151515,6,7,8,8,10,10,19,17,166,172,176,163,189,185,212,201,14522,15661,17989,20511,28273,25297,30104,33083,20875.084560000003,22512.374280000004,25858.82772,29484.152280000002,40641.87204,36363.931560000005,43273.89792,47556.15084,9.22121212121212,8.206060606060607,8.56969696969697,8.842424242424242,9.121212121212121,8.927272727272728,9.257575757575758,9.709090909090909
Spine: 1,0,[344 252],[485.37126289 270.50252088],[1.0541520000000002],19.969185228871815,25.070247933884296,21.65702479338843,22.884297520661157,31.628099173553718,36.3801652892562,33.30165289256198,38.99586776859504,40.731404958677686,5,5,6,7,7,7,8,8,115,80,87,107,113,106,119,127,6067,5241,5538,7654,8804,8059,9437,9857,6395.540184,5524.810632000001,5837.893776000001,8068.479408000001,9280.754208,8495.410968,9948.032424,10390.776264000002,16.840336134453782,16.399159663865547,12.172268907563025,11.029411764705882,9.243697478991596,8.899159663865547,9.403361344537815,8.554621848739496
Spine: 2,0,[398 276],[414 249],[0.901692],23.99157380144323,36.48792270531401,37.608695652173914,43.792270531400966,63.85024154589372,70.70048309178743,68.42028985507247,91.56038647342996,92.17391304347827,6,7,8,9,10,8,19,16,115,163,190,191,187,155,212,231,7553,7785,9065,13217,14635,14163,18953,19080,6810.479676000001,7019.67222,8173.837980000001,11917.663164000001,13196.262420000001,12770.663796,17089.768476,17204.28336,8.63768115942029,8.198067632850242,8.376811594202898,8.710144927536232,9.304347826086957,9.11111111111111,10.004830917874395,10.840579710144928
Spine: 3,0,[ 64 243],[146.67218846 207.18488976],[1.1586960000000002],1.518,33.60526315789474,36.02255639097744,28.18421052631579,42.19924812030075,40.1203007518797,46.285714285714285,42.526315789473685,39.97744360902256,10,9,9,9,10,9,9,9,123,145,109,153,128,152,151,137,8939,9582,7497,11225,10672,12312,11312,10634,10357.583544000001,11102.625072,8686.743912000002,13006.362600000002,12365.603712000002,14265.865152000002,13107.169152000002,12321.573264,10.761194029850746,10.291044776119403,9.138059701492537,9.940298507462687,9.604477611940299,9.190298507462687,9.208955223880597,9.791044776119403
Spine: 4,0,[287 245],[149.68731376 299.64873203],[1.028016],16.6781826138446,38.521186440677965,34.279661016949156,41.978813559322035,64.52118644067797,59.8771186440678,76.05508474576271,83.15677966101696,89.05932203389831,7,7,8,7,8,12,12,12,118,122,157,161,145,182,187,190,9091,8090,9907,15227,14131,17949,19625,21018,9345.693456,8316.649440000001,10184.554512,15653.599632000001,14526.894096000002,18451.859184,20174.814000000002,21606.840288000003,7.067510548523207,7.0168776371308015,7.485232067510548,7.561181434599156,7.270042194092827,7.430379746835443,7.70042194092827,7.641350210970464
Spine: 5,0,[348 285],[204.96461077 205.17480623],[1.0454400000000001],20.924013158906565,26.8,23.554166666666667,24.345833333333335,32.475,27.0625,35.858333333333334,30.983333333333334,29.208333333333332,8,6,5,6,5,6,6,5,80,76,73,97,119,126,124,101,6432,5653,5843,7794,6495,8606,7436,7010,6724.270080000001,5909.87232,6108.5059200000005,8148.159360000001,6790.132800000001,8997.05664,7773.891840000001,7328.5344000000005,7.717842323651452,7.908713692946058,8.751037344398341,8.506224066390041,8.572614107883817,9.311203319502075,9.651452282157676,9.821576763485478
Spine: 6,0,[ 82 268],[254.2116572  216.23026563],[0.7056720000000001],2.6801843300987738,113.01234567901234,109.08641975308642,85.23456790123457,58.01234567901235,64.83333333333333,52.56172839506173,41.092592592592595,61.51851851851852,11,12,10,8,8,8,7,7,255,255,249,186,215,232,198,227,18308,17672,13808,9398,10503,8515,6657,9966,12919.442976000002,12470.635584000001,9743.918976,6631.905456,7411.673016000001,6008.79708,4697.658504000001,7032.727152,9.10062893081761,9.540880503144654,9.19496855345912,9.867924528301886,9.477987421383649,9.433962264150944,9.333333333333334,9.433962264150944
Spine: 7,0,[109 265],[256 310],[0.592416],4.4705455268832015,77.41911764705883,85.61029411764706,82.98529411764706,38.713235294117645,34.52205882352941,28.36764705882353,26.705882352941178,30.735294117647058,13,11,12,7,7,7,6,7,243,231,215,205,167,109,128,115,10529,11643,11286,5265,4695,3858,3632,4180,6237.5480640000005,6897.499488,6686.006976000001,3119.0702400000005,2781.39312,2285.5409280000003,2151.6549120000004,2476.2988800000003,6.698529411764706,6.360294117647059,6.352941176470588,6.6838235294117645,7.080882352941177,7.5661764705882355,8.227941176470589,8.625
Spine: 8,0,[129 251],[294 320],[0.9975240000000001],5.838859207613477,78.47598253275109,69.00873362445415,66.04803493449782,137.3013100436681,128.89082969432314,124.87772925764192,122.94323144104804,117.75109170305677,9,8,8,24,21,16,15,11,203,222,179,248,241,250,236,253,17971,15803,15125,31442,29516,28597,28154,26965,17926.503804000004,15763.871772000002,15087.550500000001,31364.149608000003,29442.918384000004,28526.193828000003,28084.290696000004,26898.234660000002,6.08296943231441,6.25764192139738,6.358078602620087,6.572052401746725,6.475982532751091,6.432314410480349,6.681222707423581,6.550218340611353
Spine: 9,0,[215 238],[312.5040795  225.27564151],[1.1891880000000001],11.532971869498317,41.70695970695971,35.38095238095238,34.34065934065934,57.062271062271066,50.553113553113555,65.72527472527473,74.85347985347985,91.37362637362638,7,8,7,12,9,16,17,11,102,97,112,156,129,131,176,209,11386,9659,9375,15578,13801,17943,20435,24945,13540.094568000002,11486.366892000002,11148.6375,18525.170664,16411.983588000003,21337.600284000004,24301.056780000003,29664.294660000003,8.191176470588236,8.036764705882353,8.154411764705882,8.702205882352942,8.819852941176471,8.819852941176471,9.393382352941176,8.878676470588236
Spine: 10,0,[255 256],[364.09271205 226.88943765],[0.6316200000000001],14.311238057414565,96.76551724137931,111.24137931034483,94.50344827586207,99.52413793103449,58.310344827586206,40.04827586206896,26.69655172413793,20.52413793103448,13,13,13,17,8,7,6,5,231,240,242,222,179,163,141,115,14031,16130,13703,14431,8455,5807,3871,2976,8862.26022,10188.030600000002,8655.088860000002,9114.908220000001,5340.347100000001,3667.8173400000005,2445.00102,1879.7011200000002,8.873239436619718,8.169014084507042,8.605633802816902,8.922535211267606,8.330985915492958,8.788732394366198,9.359154929577464,9.161971830985916
Spine: 11,0,[287 263],[340.64524889 223.26555798],[0.7274520000000001],16.554587162405486,65.25748502994011,61.68862275449102,48.40718562874252,39.40718562874252,23.856287425149702,25.634730538922156,25.748502994011975,27.868263473053894,7,7,6,6,7,7,6,7,164,191,146,141,97,93,84,91,10898,10302,8084,6581,3984,4281,4300,4654,7927.771896000001,7494.210504000001,5880.721968000001,4787.361612000001,2898.1687680000005,3114.222012,3128.0436000000004,3385.5616080000004,6.8875,7.0625,7.59375,7.74375,7.6875,7.65625,8.0125,7.9625
