,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[471 425],[493 425],[0.9626760000000001],27.57068118209376,29.914027149321267,37.15384615384615,45.321266968325794,37.87782805429864,30.615384615384617,34.13574660633484,45.97285067873303,39.62443438914027,6,6,8,5,5,5,5,5,119,140,141,148,109,127,162,127,6611,8211,10016,8371,6766,7544,10160,8757,6364.251036000001,7904.532636000001,9642.162816000002,8058.560796000001,6513.465816000001,7262.4277440000005,9780.788160000002,8430.153732,5.728506787330317,6.1855203619909505,6.375565610859729,6.144796380090498,5.895927601809955,6.180995475113122,6.085972850678733,5.873303167420814
Spine: 1,0,[449 320],[482 315],[0.9104040000000001],20.693483928441076,118.6555023923445,87.01435406698565,74.92344497607655,76.89952153110048,62.760765550239235,65.0,119.11004784688996,81.72248803827752,20,13,9,8,6,7,19,8,255,241,230,232,208,205,255,242,24799,18186,15659,16072,13117,13585,24894,17080,22577.108796000004,16556.607144,14256.016236000001,14632.013088000002,11941.769268000002,12367.838340000002,22663.597176000003,15549.700320000002,5.904306220095694,6.057416267942584,6.15311004784689,6.019138755980861,6.5311004784688995,6.827751196172249,6.220095693779904,6.052631578947368
Spine: 2,0,[417 360],[389 360],[0.7797240000000001],23.178836308907574,82.39664804469274,87.02234636871508,88.09497206703911,90.64245810055866,94.16201117318435,93.45810055865921,97.27932960893855,79.77094972067039,12,21,18,16,14,10,11,10,191,177,227,210,231,225,234,226,14749,15577,15769,16225,16855,16729,17413,14279,11500.149276000002,12145.760748,12295.467756000002,12651.021900000002,13142.24802,13044.002796,13577.334012000001,11133.678996,6.06145251396648,6.351955307262569,6.955307262569832,6.217877094972067,6.06145251396648,5.899441340782123,6.312849162011173,6.29608938547486
Spine: 3,0,[447 202],[489 209],[1.359072],12.422637601530104,115.3301282051282,120.46474358974359,118.49038461538461,114.69871794871794,113.03205128205128,109.22115384615384,113.33974358974359,99.63782051282051,16,13,14,11,17,9,17,12,255,255,255,253,255,227,251,230,35983,37585,36969,35786,35266,34077,35362,31087,48903.48777600001,51080.72112000001,50243.532768000005,48635.750592000004,47929.033152,46313.09654400001,48059.50406400001,42249.47126400001,8.169871794871796,8.522435897435898,8.76923076923077,8.41025641025641,8.39102564102564,8.746794871794872,8.349358974358974,8.067307692307692
Spine: 4,0,[419 152],[397 147],[0.7753680000000001],9.514909545515074,118.23595505617978,71.41011235955057,58.848314606741575,71.29775280898876,83.2752808988764,69.6685393258427,61.98876404494382,56.97752808988764,27,10,10,14,10,13,9,9,255,198,147,183,212,206,189,198,21046,12711,10475,12691,14823,12401,11034,10142,16318.394928000002,9855.702648,8121.979800000001,9840.195288,11493.279864000002,9615.338568000001,8555.410512,7863.782256000001,8.308988764044944,7.792134831460674,8.264044943820224,8.044943820224718,10.03370786516854,8.786516853932584,8.123595505617978,7.848314606741573
Spine: 5,0,[441 273],[474 265],[1.1935440000000002],17.64067731290627,38.48905109489051,36.93065693430657,39.37956204379562,34.47810218978102,43.38321167883212,44.24087591240876,36.27007299270073,39.92335766423358,9,7,7,9,8,9,7,7,104,118,121,146,110,111,123,198,10546,10119,10790,9447,11887,12122,9938,10939,12587.115024,12077.471736000001,12878.33976,11275.410168000002,14187.657528000002,14468.140368000002,11861.440272000002,13056.177816000001,6.41970802919708,6.635036496350365,7.2153284671532845,6.967153284671533,7.492700729927007,8.583941605839415,7.036496350364963,7.412408759124087
Spine: 6,0,[410 208],[382 204],[0.9801000000000001],13.19053149747525,43.937777777777775,48.324444444444445,55.355555555555554,53.27111111111111,66.27111111111111,82.64,52.45777777777778,50.93333333333333,9,11,11,10,14,15,9,9,131,154,152,121,193,196,179,204,9886,10873,12455,11986,14911,18594,11803,11460,9689.268600000001,10656.627300000002,12207.1455,11747.478600000002,14614.271100000002,18223.979400000004,11568.1203,11231.946000000002,6.866666666666666,7.355555555555555,7.311111111111111,7.506666666666667,6.9911111111111115,7.0311111111111115,6.977777777777778,6.595555555555555
Spine: 7,0,[454 386],[483 374],[0.8624880000000001],25.367783395366427,57.92424242424242,57.86868686868687,60.06060606060606,68.65656565656566,71.29292929292929,56.303030303030305,68.79292929292929,110.57070707070707,8,9,11,9,9,7,9,23,161,187,184,208,221,187,248,226,11469,11458,11892,13594,14116,11148,13621,21893,9891.874872,9882.387504,10256.707296,11724.661872,12174.880608000001,9615.016224,11747.949048000002,18882.449784,7.505050505050505,7.282828282828283,7.409090909090909,7.681818181818182,7.343434343434343,7.343434343434343,6.671717171717172,7.045454545454546
Spine: 8,0,[413 235],[395 235],[0.8973360000000001],14.863462254116769,109.77184466019418,87.64077669902913,134.82038834951456,105.27184466019418,97.44174757281553,110.8883495145631,171.16990291262135,100.74271844660194,20,12,30,24,21,18,33,13,239,240,254,243,232,255,254,251,22613,18054,27773,21686,20073,22843,35261,20753,20291.458968000003,16200.504144000002,24921.712728000002,19459.628496,18012.225528000003,20497.846248,31640.964696000003,18622.414008000003,9.087378640776699,9.16504854368932,10.669902912621358,9.53883495145631,9.344660194174757,9.766990291262136,10.601941747572816,8.70873786407767
Spine: 9,0,[436  77],[418  74],[0.8015040000000001],5.149342425591994,106.51086956521739,83.2336956521739,78.29347826086956,74.08695652173913,129.08152173913044,97.34782608695652,90.54347826086956,69.67391304347827,13,16,12,14,26,16,14,10,233,195,201,210,255,238,228,187,19598,15315,14406,13632,23751,17912,16660,12820,15707.875392000002,12275.033760000002,11546.466624,10926.102528000001,19036.521504000004,14356.539648000002,13353.05664,10275.281280000001,13.548913043478262,13.33695652173913,13.201086956521738,12.978260869565217,13.320652173913043,12.173913043478262,12.429347826086957,11.815217391304348
