Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[267.0, 14.0]",208.0,199.0,190.0,217.0,211.0,217.0,202.0,235.0
"[267.0, 15.0]",196.0,178.0,254.0,218.0,213.0,255.0,169.0,188.0
"[267.0, 16.0]",196.0,206.0,212.0,194.0,184.0,222.0,198.0,228.0
"[267.0, 16.0]",196.0,206.0,212.0,194.0,184.0,222.0,198.0,228.0
"[267.0, 17.0]",185.0,180.0,232.0,205.0,203.0,255.0,186.0,233.0
"[266.0, 17.0]",183.0,158.0,143.0,135.0,140.0,237.0,136.0,193.0
"[266.0, 18.0]",173.0,180.0,139.0,185.0,136.0,242.0,147.0,162.0
"[266.0, 19.0]",137.0,135.0,106.0,149.0,80.0,251.0,121.0,178.0
"[266.0, 20.0]",154.0,112.0,168.0,144.0,108.0,206.0,109.0,173.0
"[265.0, 21.0]",108.0,148.0,129.0,108.0,123.0,201.0,70.0,144.0
"[265.0, 21.0]",108.0,148.0,129.0,108.0,123.0,201.0,70.0,144.0
"[265.0, 22.0]",155.0,120.0,121.0,163.0,104.0,223.0,79.0,158.0
"[265.0, 23.0]",164.0,114.0,155.0,124.0,110.0,179.0,61.0,152.0
"[264.0, 24.0]",188.0,168.0,140.0,138.0,111.0,158.0,85.0,107.0
"[264.0, 25.0]",164.0,144.0,128.0,121.0,132.0,128.0,98.0,97.0
"[264.0, 26.0]",149.0,163.0,161.0,150.0,104.0,175.0,120.0,122.0
"[264.0, 27.0]",194.0,171.0,166.0,134.0,161.0,168.0,102.0,148.0
"[263.0, 28.0]",209.0,174.0,170.0,126.0,136.0,154.0,133.0,135.0
"[263.0, 29.0]",176.0,179.0,148.0,215.0,126.0,154.0,124.0,114.0
"[263.0, 30.0]",172.0,151.0,182.0,167.0,167.0,151.0,148.0,184.0
"[262.0, 31.0]",186.0,176.0,126.0,208.0,179.0,166.0,122.0,173.0
"[262.0, 32.0]",170.0,228.0,169.0,176.0,162.0,155.0,195.0,163.0
"[262.0, 33.0]",232.0,210.0,206.0,210.0,194.0,201.0,167.0,185.0
"[262.0, 34.0]",238.0,223.0,207.0,238.0,209.0,196.0,207.0,196.0
"[261.0, 35.0]",203.0,240.0,176.0,244.0,194.0,199.0,184.0,175.0
"[261.0, 36.0]",202.0,249.0,223.0,255.0,188.0,230.0,169.0,201.0
"[261.0, 37.0]",243.0,234.0,193.0,248.0,202.0,208.0,202.0,190.0
"[260.0, 38.0]",241.0,255.0,255.0,255.0,213.0,235.0,210.0,191.0
"[260.0, 39.0]",255.0,244.0,230.0,244.0,209.0,228.0,255.0,207.0
"[260.0, 40.0]",243.0,255.0,241.0,235.0,239.0,255.0,246.0,209.0
"[259.0, 41.0]",215.0,228.0,227.0,214.0,251.0,249.0,255.0,242.0
"[259.0, 42.0]",254.0,223.0,199.0,239.0,253.0,252.0,228.0,245.0
"[259.0, 43.0]",241.0,251.0,245.0,236.0,231.0,245.0,231.0,197.0
"[259.0, 44.0]",241.0,233.0,206.0,221.0,255.0,235.0,210.0,232.0
"[258.0, 45.0]",193.0,194.0,218.0,212.0,215.0,233.0,223.0,176.0
"[258.0, 46.0]",229.0,172.0,183.0,197.0,232.0,247.0,221.0,173.0
"[258.0, 47.0]",239.0,244.0,208.0,217.0,226.0,219.0,201.0,158.0
"[257.0, 48.0]",195.0,232.0,212.0,196.0,243.0,203.0,207.0,214.0
"[257.0, 49.0]",170.0,201.0,201.0,237.0,228.0,199.0,190.0,158.0
"[257.0, 50.0]",199.0,232.0,214.0,206.0,200.0,207.0,142.0,209.0
"[257.0, 51.0]",221.0,228.0,219.0,216.0,192.0,213.0,174.0,195.0
"[256.0, 52.0]",224.0,195.0,225.0,224.0,254.0,191.0,167.0,146.0
"[256.0, 52.0]",224.0,195.0,225.0,224.0,254.0,191.0,167.0,146.0
"[256.0, 54.0]",255.0,205.0,222.0,205.0,224.0,198.0,159.0,164.0
"[255.0, 54.0]",219.0,171.0,169.0,199.0,184.0,207.0,151.0,144.0
"[255.0, 56.0]",203.0,172.0,209.0,239.0,234.0,254.0,175.0,148.0
"[255.0, 57.0]",228.0,198.0,208.0,218.0,248.0,235.0,180.0,169.0
"[255.0, 57.0]",228.0,198.0,208.0,218.0,248.0,235.0,180.0,169.0
"[254.0, 59.0]",194.0,203.0,205.0,210.0,241.0,255.0,214.0,154.0
"[254.0, 60.0]",242.0,193.0,185.0,200.0,250.0,232.0,146.0,195.0
"[254.0, 61.0]",253.0,239.0,166.0,193.0,237.0,244.0,189.0,202.0
"[253.0, 62.0]",218.0,195.0,181.0,181.0,248.0,215.0,162.0,134.0
"[253.0, 62.0]",218.0,195.0,181.0,181.0,248.0,215.0,162.0,134.0
"[253.0, 64.0]",233.0,173.0,134.0,151.0,162.0,210.0,170.0,151.0
"[253.0, 64.0]",233.0,173.0,134.0,151.0,162.0,210.0,170.0,151.0
"[252.0, 66.0]",185.0,147.0,153.0,153.0,140.0,206.0,177.0,138.0
"[252.0, 67.0]",197.0,169.0,153.0,164.0,116.0,196.0,108.0,155.0
"[252.0, 68.0]",188.0,179.0,145.0,154.0,183.0,120.0,173.0,147.0
"[252.0, 69.0]",168.0,160.0,139.0,148.0,177.0,184.0,190.0,139.0
